ParticipantName	MediaName	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX..MCSpx.	FixationPointY..MCSpx.	SaccadicAmplitude	AOI.color.key.Hit	AOI.L.7.Hit	AOI.L.8.Hit	AOI.L.9.Hit	AOI.L.4...leak.Hit	AOI.L.10.Hit	AOI.P.7.Hit	AOI.P.8.Hit	AOI.P.9.Hit	AOI.P.4...leak.Hit	AOI.P.10.Hit	AOI.N.5.Hit	AOI.N.2...sen_leak.Hit	AOI.N.6.Hit	AOI.N.7.Hit	AOI.leak.Hit
Max	mit5	NA	1	Saccade	625	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	1	Saccade	625	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	1	Saccade	625	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	1	Saccade	625	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	1	Saccade	625	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	1	Saccade	625	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	1	Saccade	625	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	1	Saccade	625	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	1	NA	Fixation	153	809	377	21.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	1	NA	Fixation	153	809	377	21.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	1	NA	Fixation	153	809	377	21.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	1	NA	Fixation	153	809	377	21.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	1	NA	Fixation	153	809	377	21.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	1	NA	Fixation	153	809	377	21.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	1	NA	Fixation	153	809	377	21.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	1	NA	Fixation	153	809	377	21.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	1	NA	Fixation	153	809	377	21.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	2	Saccade	17	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	NA	Unclassified	17	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	3	Saccade	50	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	3	Saccade	50	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	3	Saccade	50	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	2	NA	Fixation	33	798	370	0.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	2	NA	Fixation	33	798	370	0.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	4	Saccade	83	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	4	Saccade	83	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	4	Saccade	83	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	4	Saccade	83	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	4	Saccade	83	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	3	NA	Fixation	101	729	364	0.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	3	NA	Fixation	101	729	364	0.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	3	NA	Fixation	101	729	364	0.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	3	NA	Fixation	101	729	364	0.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	3	NA	Fixation	101	729	364	0.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	3	NA	Fixation	101	729	364	0.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	5	Saccade	17	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	NA	Unclassified	17	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	6	Saccade	17	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	4	NA	Fixation	233	654	311	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Max	mit5	4	NA	Fixation	233	654	311	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Max	mit5	4	NA	Fixation	233	654	311	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Max	mit5	4	NA	Fixation	233	654	311	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Max	mit5	4	NA	Fixation	233	654	311	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Max	mit5	4	NA	Fixation	233	654	311	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Max	mit5	4	NA	Fixation	233	654	311	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Max	mit5	4	NA	Fixation	233	654	311	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Max	mit5	4	NA	Fixation	233	654	311	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Max	mit5	4	NA	Fixation	233	654	311	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Max	mit5	4	NA	Fixation	233	654	311	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Max	mit5	4	NA	Fixation	233	654	311	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Max	mit5	4	NA	Fixation	233	654	311	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Max	mit5	4	NA	Fixation	233	654	311	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Max	mit5	NA	7	Saccade	33	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	7	Saccade	33	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	5	NA	Fixation	100	449	363	8.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	5	NA	Fixation	100	449	363	8.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	5	NA	Fixation	100	449	363	8.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	5	NA	Fixation	100	449	363	8.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	5	NA	Fixation	100	449	363	8.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	5	NA	Fixation	100	449	363	8.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	8	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	8	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	8	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	8	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	8	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	8	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	8	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	8	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	NA	Unclassified	17	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	9	Saccade	117	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	9	Saccade	117	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	9	Saccade	117	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	9	Saccade	117	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	9	Saccade	117	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	9	Saccade	117	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	9	Saccade	117	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	6	NA	Fixation	117	1623	71	4.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	6	NA	Fixation	117	1623	71	4.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	6	NA	Fixation	117	1623	71	4.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	6	NA	Fixation	117	1623	71	4.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	6	NA	Fixation	117	1623	71	4.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	6	NA	Fixation	117	1623	71	4.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	6	NA	Fixation	117	1623	71	4.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	10	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	10	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	10	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	10	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	10	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	10	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	10	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	10	Saccade	133	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	NA	Unclassified	17	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Max	mit5	NA	11	Saccade	50	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
