ParticipantName	MediaName	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX..MCSpx.	FixationPointY..MCSpx.	SaccadicAmplitude	AOI.color.key.Hit	AOI.R.1.Hit	AOI.R.2...leak.Hit	AOI.R.3.Hit	AOI.R.4.Hit	AOI.I.1.Hit	AOI.I.2.Hit	AOI.I.3...sen_leak.Hit	AOI.S.1.Hit	AOI.S.2.Hit	AOI.S.3...leak.Hit	AOI.leak.Hit
Takanori	inc0	1	NA	Fixation	653	812	472	17.87	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	1	NA	Fixation	653	812	472	17.87	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	1	NA	Fixation	653	812	472	17.87	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	1	NA	Fixation	653	812	472	17.87	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	1	NA	Fixation	653	812	472	17.87	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	1	NA	Fixation	653	812	472	17.87	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	1	NA	Fixation	653	812	472	17.87	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	1	NA	Fixation	653	812	472	17.87	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	1	NA	Fixation	653	812	472	17.87	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	1	NA	Fixation	653	812	472	17.87	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	1	NA	Fixation	653	812	472	17.87	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	1	NA	Fixation	653	812	472	17.87	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	1	NA	Fixation	653	812	472	17.87	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	1	NA	Fixation	653	812	472	17.87	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	1	NA	Fixation	653	812	472	17.87	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	1	NA	Fixation	653	812	472	17.87	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	1	NA	Fixation	653	812	472	17.87	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	1	NA	Fixation	653	812	472	17.87	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	1	NA	Fixation	653	812	472	17.87	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	1	NA	Fixation	653	812	472	17.87	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	1	NA	Fixation	653	812	472	17.87	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	1	NA	Fixation	653	812	472	17.87	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	1	NA	Fixation	653	812	472	17.87	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	1	NA	Fixation	653	812	472	17.87	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	1	NA	Fixation	653	812	472	17.87	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	1	NA	Fixation	653	812	472	17.87	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	1	NA	Fixation	653	812	472	17.87	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	1	NA	Fixation	653	812	472	17.87	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	1	NA	Fixation	653	812	472	17.87	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	1	NA	Fixation	653	812	472	17.87	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	1	NA	Fixation	653	812	472	17.87	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	1	NA	Fixation	653	812	472	17.87	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	1	NA	Fixation	653	812	472	17.87	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	1	NA	Fixation	653	812	472	17.87	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	1	NA	Fixation	653	812	472	17.87	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	1	NA	Fixation	653	812	472	17.87	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	NA	1	Saccade	50	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	NA	1	Saccade	50	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	NA	1	Saccade	50	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	2	NA	Fixation	50	814	519	4.88	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	2	NA	Fixation	50	814	519	4.88	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	2	NA	Fixation	50	814	519	4.88	0	0	0	0	0	0	0	0	1	0	0	0
Takanori	inc0	NA	2	Saccade	83	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	NA	2	Saccade	83	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	NA	2	Saccade	83	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	NA	2	Saccade	83	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	NA	2	Saccade	83	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	3	NA	Fixation	83	984	498	9.04	0	0	0	0	0	1	0	0	0	0	0	0
Takanori	inc0	3	NA	Fixation	83	984	498	9.04	0	0	0	0	0	1	0	0	0	0	0	0
Takanori	inc0	3	NA	Fixation	83	984	498	9.04	0	0	0	0	0	1	0	0	0	0	0	0
Takanori	inc0	3	NA	Fixation	83	984	498	9.04	0	0	0	0	0	1	0	0	0	0	0	0
Takanori	inc0	3	NA	Fixation	83	984	498	9.04	0	0	0	0	0	1	0	0	0	0	0	0
Takanori	inc0	NA	3	Saccade	167	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	NA	3	Saccade	167	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	NA	3	Saccade	167	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	NA	3	Saccade	167	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	NA	3	Saccade	167	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	NA	3	Saccade	167	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	NA	3	Saccade	167	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	NA	3	Saccade	167	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	NA	3	Saccade	167	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	NA	3	Saccade	167	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	4	NA	Fixation	250	1378	605	14.16	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	4	NA	Fixation	250	1378	605	14.16	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	4	NA	Fixation	250	1378	605	14.16	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	4	NA	Fixation	250	1378	605	14.16	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	4	NA	Fixation	250	1378	605	14.16	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	4	NA	Fixation	250	1378	605	14.16	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	4	NA	Fixation	250	1378	605	14.16	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	4	NA	Fixation	250	1378	605	14.16	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	4	NA	Fixation	250	1378	605	14.16	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	4	NA	Fixation	250	1378	605	14.16	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	4	NA	Fixation	250	1378	605	14.16	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	4	NA	Fixation	250	1378	605	14.16	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	4	NA	Fixation	250	1378	605	14.16	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	4	NA	Fixation	250	1378	605	14.16	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	4	NA	Fixation	250	1378	605	14.16	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	NA	4	Saccade	17	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	5	NA	Fixation	33	1293	604	10.83	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	5	NA	Fixation	33	1293	604	10.83	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	NA	5	Saccade	50	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	NA	5	Saccade	50	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	NA	5	Saccade	50	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	6	NA	Fixation	133	1287	638	1	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	6	NA	Fixation	133	1287	638	1	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	6	NA	Fixation	133	1287	638	1	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	6	NA	Fixation	133	1287	638	1	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	6	NA	Fixation	133	1287	638	1	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	6	NA	Fixation	133	1287	638	1	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	6	NA	Fixation	133	1287	638	1	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	6	NA	Fixation	133	1287	638	1	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	NA	6	Saccade	33	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	NA	6	Saccade	33	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
Takanori	inc0	7	NA	Fixation	83	1563	531	5.08	0	0	0	0	0	0	0	1	0	0	0	0
Takanori	inc0	7	NA	Fixation	83	1563	531	5.08	0	0	0	0	0	0	0	1	0	0	0	0
