ParticipantName	MediaName	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX..MCSpx.	FixationPointY..MCSpx.	SaccadicAmplitude	AOI.color.key.Hit	AOI.H.1...leak.Hit	AOI.H.2.Hit	AOI.H.3.Hit	AOI.H.4.Hit	AOI.W.1...leak.Hit	AOI.W.2.Hit	AOI.W.3.Hit	AOI.W.4.Hit	AOI.W.5.Hit	AOI.D.1.Hit	AOI.D.2.Hit	AOI.D.3.Hit	AOI.D.4...sen_leak.Hit	AOI.leak.Hit
Chris_Ye	dis0	NA	1	Saccade	50	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	NA	1	Saccade	50	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	NA	1	Saccade	50	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	1	NA	Fixation	133	1085	404	10.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	1	NA	Fixation	133	1085	404	10.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	1	NA	Fixation	133	1085	404	10.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	1	NA	Fixation	133	1085	404	10.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	1	NA	Fixation	133	1085	404	10.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	1	NA	Fixation	133	1085	404	10.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	1	NA	Fixation	133	1085	404	10.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	1	NA	Fixation	133	1085	404	10.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	NA	2	Saccade	67	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	NA	2	Saccade	67	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	NA	2	Saccade	67	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	NA	2	Saccade	67	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	2	NA	Fixation	366	842	273	6.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	2	NA	Fixation	366	842	273	6.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	2	NA	Fixation	366	842	273	6.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	2	NA	Fixation	366	842	273	6.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	2	NA	Fixation	366	842	273	6.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	2	NA	Fixation	366	842	273	6.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	2	NA	Fixation	366	842	273	6.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	2	NA	Fixation	366	842	273	6.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	2	NA	Fixation	366	842	273	6.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	2	NA	Fixation	366	842	273	6.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	2	NA	Fixation	366	842	273	6.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	2	NA	Fixation	366	842	273	6.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	2	NA	Fixation	366	842	273	6.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	2	NA	Fixation	366	842	273	6.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	2	NA	Fixation	366	842	273	6.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	2	NA	Fixation	366	842	273	6.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	2	NA	Fixation	366	842	273	6.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	2	NA	Fixation	366	842	273	6.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	2	NA	Fixation	366	842	273	6.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	2	NA	Fixation	366	842	273	6.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	2	NA	Fixation	366	842	273	6.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	2	NA	Fixation	366	842	273	6.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	NA	3	Saccade	17	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	3	NA	Fixation	150	640	323	5.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	3	NA	Fixation	150	640	323	5.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	3	NA	Fixation	150	640	323	5.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	3	NA	Fixation	150	640	323	5.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	3	NA	Fixation	150	640	323	5.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	3	NA	Fixation	150	640	323	5.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	3	NA	Fixation	150	640	323	5.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	3	NA	Fixation	150	640	323	5.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	3	NA	Fixation	150	640	323	5.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	NA	4	Saccade	117	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	NA	4	Saccade	117	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	NA	4	Saccade	117	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	NA	4	Saccade	117	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	NA	4	Saccade	117	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	NA	4	Saccade	117	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	NA	4	Saccade	117	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	4	NA	Fixation	183	497	239	4.05	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	4	NA	Fixation	183	497	239	4.05	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	4	NA	Fixation	183	497	239	4.05	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	4	NA	Fixation	183	497	239	4.05	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	4	NA	Fixation	183	497	239	4.05	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	4	NA	Fixation	183	497	239	4.05	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	4	NA	Fixation	183	497	239	4.05	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	4	NA	Fixation	183	497	239	4.05	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	4	NA	Fixation	183	497	239	4.05	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	4	NA	Fixation	183	497	239	4.05	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	4	NA	Fixation	183	497	239	4.05	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	NA	5	Saccade	50	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	NA	5	Saccade	50	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	NA	5	Saccade	50	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	5	NA	Fixation	150	419	183	2.33	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	5	NA	Fixation	150	419	183	2.33	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	5	NA	Fixation	150	419	183	2.33	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	5	NA	Fixation	150	419	183	2.33	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Chris_Ye	dis0	5	NA	Fixation	150	419	183	2.33	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
